abbr	len	ambiguous	raw	marked	in_other_tags	bare_narrative	ctx1	ctx2	ctx3
überh.	6		613	2	2	609	END>     ¦ (von   mit  )     (nach dem Essen)     überh.   Nach dem   :  ; dazu wird folgende Stelle aus e	2">— e)       <div n="2">— f)                     überh.:     <LEND>     ¦ (von  )   =   2,  , α.   im    	  (  oder dergl.)               <div n="1">— 2)   überh.,                                             (omi
gedr.	5		576	0	1	575	 ebend.       =     <LEND>     ¦ (von  )         (gedr.      :     <LEND>     ¦ s. u.   1. <LEND>     ¦ (	  ¦ (wie eben)    , mit dem gen. des obj.:     (  gedr.). 11. mit dem loc.:     <LEND>     ¦ (von   mit  	:     <div n="p">—    :     — caus. dass.:     (  gedr.).   <LEND>    2.  ¦,    :     Man könnte hier ein
abl.	4		566	0	1	565	er   adjectivisch auf)            ,       Mit dem abl.  :     Mit dem gen. nach unserer Auffassungsweise	2)       im   <div n="v">— Vgl.   . <LEND>     ¦ (abl. von  ) adv.  ; bei einem praes.       fut.       	  <LEND>     ¦ (von 2.    ) adv. <div n="1"> 1) = abl. von   und zwar <div n="2"> a) mit subst. Bedeutun
Inschr.	7		568	4	9	555	 ¦ ( )       <LEND>     ¦ (von  )    )   in einer Inschr. <div n="v">— Vgl.   . <LEND>     ¦ ( )    :     <	lichen bis zum westlichen Meere.         in einer Inschr.   <LEND>     ¦ ( )   Titel eines Werkes   <LEND> 	     ¦ (von   im caus. mit  )   subst.   in einer Inschr.   <LEND>     ¦ (wie eben)   <div n="1"> 1)       
z. B.	5		512	1	4	507	bertreibender Weise gebraucht wird. So umschreibt z. B.     durch <div n="1"> 1)    , <div n="1"> 2)    ,	ntgegengesetzte Begriff gemeint wird; so bedeutet z. B.     geradezu   Zwei Negationen bejahen:     =   .	ND>     ¦ (3.  )       . <LEND>     ¦ (3.  )     (z. B. Gesicht)  ,   <LEND>     ¦ (3.  ) <div n="1"> 1) 
Einl.	5		540	0	57	483	sche Handlung, welche einen Theil des   bildet.   Einl. zu   :       —         (plur.)         <div n="1"	="1">— 2)   (auch in übertr. Bed.)             R. Einl. 5.         in     <LEND>    2.  ¦ (von   mit  )  	      heisst          ,  ,   <div n="v">— Vgl.  , Einl. zum   und   . <LEND>     ¦ nom. abstr. von    ,  
du.	3	Y	477	0	1	476	 ( )     <div n="v">— Vgl.   . <LEND>     ¦ ( )   du.        ,   <div n="v">— Vgl.   <LEND>     ¦ (von 	 <div n="1">— 2)    ,     im   <LEND>     ¦ ( )   du.           <div n="v">— Vgl.   <LEND>     ¦     <d	m   <div n="1">— 2)   ebend.   <LEND>     ¦ ( )   du.       =    ,  .  ,   <LEND>     ¦ ( )    :     <L
dat.	4		468	1	1	466	 :     med.:         <div n="p">—    :           (dat. inf.)     <div n="p">—    :     <div n="p">—   <d	 ¦ ( )    :     <LEND>     ¦ (3.  )       mit dem dat.:     mit dem loc.:     mit dem gen.:       <LEND>	2)           <LEND>     ¦           <LEND>     ¦ (dat. von   und dieses von   mit  )  :       <LEND>    
intens.	7		438	1	0	437	er zu   <LEND>     ¦   =    ,   <LEND>     ¦ (vom intens. von  )   =    ,  . 1.         <LEND>     ¦,   den	   <LEND>     ¦ (1.  )    :     <LEND>     ¦ (vom intens. von   mit  )    :     <LEND>     ¦ (von   mit  ) 	         <div n="1">— 6)  :                     — intens. ved.      : [Page1-0401]         klass.       zu 
best.	5		6614	0	6178	436	— 2)       im   <LEND>     ¦ (von  )  , Titel von best.   bei den Buddhisten   <LEND>     ¦ ( )   <div n=	  also:  :     <LEND>     ¦ (von 3.  )       (ein best. dämonisches Wesen; s. u. d. W.); ursprünglich woh	     ¦ ( )      ,  . 2. <div n="1"> 1)       eine best. Personification scheint hier nicht gemeint. <div 
oxyt.	5		434	3	0	431	 beide Seiten hervortreten.         [Page1-0213] (oxyt.) =     Tochter des   und der     Nach der Ansicht	="1">— 2)   <div n="2"> a)  :             (sc.   (oxyt.)    ; vgl.   am Ende. <div n="2">— b)  ; mehrmals	 am Ende eines comp. =       <LEND>     ¦ (von  ) oxyt.    , proparox. =       .   N. pr. eines Mannes   
insbes.	7		429	1	2	426	;   <LEND>     ¦   <div n="1"> 1)        ;       (insbes. zum Heranziehen),  :            , u. s. w.)      	D>     ¦ (von   mit  )                        ,   insbes.     (als das dem   darzubringende Opfer).        	"> 1)    :     zu P. ( )   <div n="1">— 2)      , insbes.    , z. B.   . <LEND>     ¦ (von  )    :     <LEN
parox.	6		391	0	1	390	 mit dem Bein.           Schüler des     (hier proparox.) =     Vater von     Sohn     zu   Vgl.   . — ein	 comp. =       <LEND>     ¦ (von  ) oxyt.    , proparox. =       .   N. pr. eines Mannes             die G	 ist für   vielleicht   zu lesen, da jene Form proparox. sein müsste)       <div n="1"> 1)                
adj.	4		36087	7	35692	388	 <LEND>    2.  ¦ (das substantivirte vorangehende adj.)   <div n="1"> 1)               <div n="1">— 2) N	   ,   — Schwächung von   . <LEND>    1.  ¦ (3.   adj.) <div n="1"> 1)       <div n="2"> a)  :          	D>     ¦ ( )     Von  :           <LEND>     ¦ (  adj.) adv.  , nur an zwei Stellen         <LEND>     ¦
nom. act.	9		388	0	0	388	einame     <LEND>     ¦ (1.  )       <LEND>     ¦ nom. act. (?) von    ,  . 1. <LEND>     ¦ (1.   verdoppelt 	gl.   und oben unter   1. <LEND>     ¦    ; davon nom. act.     <LEND>     ¦,          :     <div n="v">— Vgl	      <LEND>     ¦    :     in       — Wohl von   nom. act. von   mit   . <LEND>     ¦ (von   mit  )   <div n
Aut.	4		383	0	1	382	END>     ¦   <div n="1"> 1)       ohne Ang. einer Aut. Vgl.   . <div n="1">— 2) N. pr. eines Elephantenf	man darin die Trias  ,   und   (    ohne Ang. der Aut. Vgl.   ). Die übliche Bezeichnung für   ist   (s.	     zu   im   Davon nom. abstr.   nach derselben Aut. Eine der acht übernatürlichen Kräfte     und ange
d. h.	5		381	0	0	381	uzutheilen.</F>     [Page1-0002]                , d. h.     Vor einem Nomen pr. oder Appell. ( ) im Vorwu	 eines  ,   <LEND>     ¦ (superl. von  )        , d. h.  ; so heisst besonders  ,      :   (die instrr. b	 )                         (von der Zeit):       (d. h.  )   Man findet   auch mit dem gen. verbunden:   
obj.	4		347	0	0	347	"1"> 1)  :     (der blinde  )   (den Sohn)       (obj.)     mit dem obj. componirt:     <div n="1">— 2) 	r blinde  )   (den Sohn)       (obj.)     mit dem obj. componirt:     <div n="1">— 2)  , mit dem obj. co	em obj. componirt:     <div n="1">— 2)  , mit dem obj. componirt:     <div n="1">— 3)  :           (der 
übertr.	7		341	1	0	340	                   (das Meer)                     übertr.:              , ult. <div n="1">— 2)         n.  	085]                                           in übertr. Bed.:       (sic! also nicht mit   zu verbinden) 	     med.:   N. (  für   . pass.:                 übertr.:         — Caus.  :      , aber   (ohne Object)  
ders.	5		323	0	0	323	>— 4)  :   ( ,   :  )     ( :  )         in       ders. ebend.       mit dem loc.:           [Page1-0147]	  . <div n="1">— 2)   ( )   <div n="1">— 3)   ( ) ders. <LEND>     ¦ ( )     ( )   im   <LEND>     ¦ ( ) 	— 3)     N. einer Pflanze, =     im   —   s. besonders. <LEND>    2.  ¦ (von 2.  )    :                  
fin.	4		319	0	0	319	ieselbe Bedeutung hat     :  .    (das 1ste verb. fin. kann den Ton erhalten  ):     (=   =   =  ,  )   	        <div n="1">— 2)   ( :  ):               infin.:     <div n="1">— 3) partic.  ; <div n="2"> a)  :	  <div n="2"> a)   (acc.)         statt des verb. fin.       <div n="2">— b)           <div n="2">— c)  
eig.	4		319	0	4	315	  ¦ (3.  )       im   <LEND>     ¦ (  [3.  )     (eig.  )   im   <LEND>     ¦ (3.   part. praes. von  ) 	)    :       <LEND>     ¦ ( )   <div n="1"> 1)   (eig.  )   <div n="1">— 2) eine bes. Krankheit,   ( )  	heisst     Vgl.   . <div n="2">— c)      ,       (eig.  ,  )                                            
pers.	5		294	0	0	294	es (sic!) =   ( ),   und   im   <div n="v">— Vgl. pers.   <LEND>     ¦,                 (so ist in den   	 1)  :                           med.:         (1 pers.)     <div n="1">— 2)  :                          	     part. act.:     <div n="p">—   med.  :   (1. pers.)       <div n="p">—   med. <div n="1"> 1)  :     
folg.	5		294	0	2	292	LEND>     ¦ (3.  )    :     <div n="v">— Vgl. das folg. Wort. <LEND>     ¦ ( )     Attribut des     des H	 )   N. pr. der Vater des 7ten schwarzen  ; s. d. folg. Art. <LEND>     ¦ ( )     des  , der 7te schwarze	                In der Bedeutung   erscheint   an folg. St.:               [Page1-0037]             (die 
neutr.	6		276	0	1	275	    <LEND>     ¦ (von  ) adv.    ; vielleicht das neutr. vom Folgenden. <LEND>     ¦ ( ) <div n="1"> 1)   	len erscheint das Wort am Anf. eines comp. in der neutr. Form       Das neutr.   wird als indecl. im     a	 am Anf. eines comp. in der neutr. Form       Das neutr.   wird als indecl. im     aufgeführt.     dient o
Unterschr.	10		268	0	0	268	2)   <div n="2"> a)  :                     in der Unterschr.     <div n="2">— b)  :   ( )         ( )   ( )   	es obj.:     componirt mit dem subj.:     (in der Unterschr.), mit dem Endzweck:     <LEND>     ¦ (von  )    ;	   ¦ (von   mit  )      ,     im           in der Unterschr. <LEND>     ¦ (von   mit  )    :     <LEND>     ¦ 
