vol.	page	pancika	adhyaya	from kandika	to kandika.	ipage
I	225	5	4	20	20a	128
I	226	5	4	20b	21a	129
I	227	5	4	21b	21b	130
I	228	5	4	21c	22a	131
I	229	5	4	22b	23a	132
I	230	5	4	23b	25a	133
I	231	5	4	25b	25b	134
I	231	5	5	26	26a	134
I	232	5	5	26b	27	135
I	233	5	5	28	29a	136
I	234	5	5	29b	30a	137
I	235	5	5	30b	31a	138
I	236	5	5	31b	32a	139
I	237	5	5	32b	33	140
I	238	5	5	34	34	141
I	238	6	1	1	1a	141
I	239	6	1	1b	2a	142
I	240	6	1	2b	3a	143
I	241	6	1	3b	3b	144
I	241	6	2	4	4a	144
I	242	6	2	4b	6a	145
I	243	6	2	6b	8a	146
I	244	6	2	8b	8b	147
I	244	6	3	9	9a	147
I	245	6	3	9b	10a	148
I	246	6	3	10b	12a	149
I	247	6	3	12b	13a	150
I	248	6	3	13b	14a	151
I	249	6	3	14b	15a	152
I	250	6	3	15b	16	153
I	250	6	4	17	18a	153
I	251	6	4	18b	19a	154
I	252	6	4	19b	20a	155
I	253	6	4	20b	21a	156
I	254	6	4	21b	22	157
I	255	6	4	23	24a	158
I	256	6	4	24b	25a	159
I	257	6	4	25b	26a	160
I	258	6	4	26b	26b	161
I	258	6	5	27	28a	161
I	259	6	5	28b	30a	162
I	260	6	5	30b	31a	163
I	261	6	5	31b	32a	164
I	262	6	5	32b	33a	165
I	263	6	5	33b	34a	166
I	264	6	5	34b	35a	167
I	265	6	5	35b	36a	168
I	266	6	5	36b	36b	169
I	266	7	1	1	1a	169
I	267	7	1	1b	3a	170
I	268	7	2	3b	4	171
I	269	7	2	5	5	172
I	270	7	2	6	7a	173
I	271	7	2	7b	8a	174
I	272	7	2	8b	9a	175
I	273	7	2	9b	10a	176
I	274	7	2	10b	12a	177
I	275	7	2	12b	12b	178
I	275	7	3	13	13a	178
I	276	7	3	13b	14a	179
I	277	7	3	14b	15a	180
I	278	7	3	15b	16a	181
I	279	7	3	16b	17a	182
I	280	7	3	17b	18a	183
I	281	7	3	18b	18b	184
I	281	7	4	19	19a	184
I	282	7	4	19b	22a	185
I	283	7	4	22b	23a	186
I	284	7	4	23b	25	187
I	285	7	4	26	26	188
I	285	7	5	27	27a	188
I	286	7	5	27b	29	189
I	287	7	5	30	32a	190
I	288	7	5	32b	33a	191
I	289	7	5	33b	34a	192
I	290	7	5	34b	34b	193
I	290	8	1	1	2a	193
I	291	8	1	2b	4a	194
I	292	8	1	4b	4b	195
I	292	8	2	5	5a	195
I	293	8	2	5b	7a	196
I	294	8	2	7b	8a	197
I	295	8	2	8b	9a	198
I	296	8	2	9b	10a	199
I	297	8	2	10b	11a	200
I	298	8	2	11b	11b	201
I	298	8	3	12	12a	201
I	299	8	3	12b	13	202
I	300	8	3	14	14a	203
I	301	8	3	14b	14b	204
I	301	8	3	14c	14c	204
I	301	8	4	15	15	204
I	302	8	4	16	17a	205
I	303	8	4	17b	18	206
I	304	8	4	19	20a	207
I	305	8	4	20b	21a	208
I	306	8	4	21b	22a	209
I	307	8	4	22b	23a	210
I	308	8	4	23b	23b	211
I	308	8	5	24	24a	211
I	309	8	5	24b	26a	212
I	310	8	5	26b	28a	213
I	311	8	5	28b	28b	214
I	312	8	5	28c	28c	215
